Dice,Trial 1,Trial 2,Sum
1,4,1,5
2,4,5,9
3,2,6,8
4,6,3,9
5,3,6,9
6,6,6,12
7,3,3,6
8,3,2,5
9,2,6,8
10,6,6,12
11,5,2,7
12,4,5,9
13,1,5,6
14,4,3,7
15,4,4,8
16,5,4,9
17,5,6,11
18,1,1,2
19,4,4,8
20,4,2,6
21,6,2,8
22,5,5,10
23,3,5,8
24,5,2,7
25,2,5,7
26,5,4,9
27,2,4,6
28,4,2,6
29,2,6,8
30,4,4,8
31,4,4,8
32,6,6,12
33,6,5,11
34,1,3,4
35,5,1,6
36,2,4,6
37,5,1,6
38,3,1,4
39,3,2,5
40,6,1,7
41,2,1,3
42,4,6,10
43,2,6,8
44,4,1,5
45,3,4,7
46,6,6,12
47,6,3,9
48,6,2,8
49,4,3,7
50,3,4,7
51,1,4,5
52,2,1,3
53,2,1,3
54,5,2,7
55,4,3,7
56,5,3,8
57,3,4,7
58,5,2,7
59,3,2,5
60,5,4,9
61,2,4,6
62,2,2,4
63,3,2,5
64,5,3,8
65,2,1,3
66,1,1,2
67,2,2,4
68,1,3,4
69,2,5,7
70,6,6,12
71,1,5,6
72,3,5,8
73,5,6,11
74,3,5,8
75,3,6,9
76,1,6,7
77,3,6,9
78,4,5,9
79,2,3,5
80,6,5,11
81,1,5,6
82,6,1,7
83,3,3,6
84,2,4,6
85,3,5,8
86,3,5,8
87,1,1,2
88,2,4,6
89,2,4,6
90,1,2,3
91,2,4,6
92,4,1,5
93,3,4,7
94,1,2,3
95,1,3,4
96,4,6,10
97,1,5,6
98,1,1,2
99,1,4,5
100,4,4,8
